num,date,forecast
463,2020-11-19,1.641481158
464,2020-11-20,1.637845161
465,2020-11-21,1.633759462
466,2020-11-22,1.644064123
467,2020-11-23,1.586323089
468,2020-11-24,1.619356473
469,2020-11-25,1.614045251
470,2020-11-26,1.608586895
471,2020-11-27,1.603046436
472,2020-11-28,1.597487134
473,2020-11-29,1.606756563
474,2020-11-30,1.548416662
475,2020-12-01,1.581276432
476,2020-12-02,1.57619724
477,2020-12-03,1.571349238
478,2020-12-04,1.566763385
479,2020-12-05,1.562463189
480,2020-12-06,1.573251971
481,2020-12-07,1.516644162
482,2020-12-08,1.551399264
483,2020-12-09,1.548328429
484,2020-12-10,1.545552123
485,2020-12-11,1.543053305
486,2020-12-12,1.540810262
487,2020-12-13,1.553584833
488,2020-12-14,1.498854527
489,2020-12-15,1.535347165
490,2020-12-16,1.533847961
491,2020-12-17,1.532457522
492,2020-12-18,1.531145191
493,2020-12-19,1.529881875
494,2020-12-20,1.543428092
495,2020-12-21,1.489265768
496,2020-12-22,1.526132416
497,2020-12-23,1.524827643
498,2020-12-24,1.523470468
499,2020-12-25,1.52205192
500,2020-12-26,1.520567059
501,2020-12-27,1.533802201
502,2020-12-28,1.479265888
503,2020-12-29,1.515722256
504,2020-12-30,1.513996779
505,2020-12-31,1.512232891
506,2021-01-01,1.510443955
507,2021-01-02,1.508644761
508,2021-01-03,1.521638327
509,2021-01-04,1.466946549
510,2021-01-05,1.503343376
511,2021-01-06,1.501660468
512,2021-01-07,1.500043835
513,2021-01-08,1.498505946
514,2021-01-09,1.497057443
515,2021-01-10,1.510494248
516,2021-01-11,1.456328594
517,2021-01-12,1.493322623
518,2021-01-13,1.492294512
519,2021-01-14,1.491375602
520,2021-01-15,1.490562997
521,2021-01-16,1.489851763
522,2021-01-17,1.504022492
523,2021-01-18,1.450572752
524,2021-01-19,1.488251059
525,2021-01-20,1.487863314
526,2021-01-21,1.487530188
527,2021-01-22,1.487239906
528,2021-01-23,1.486980555
529,2021-01-24,1.501527704
530,2021-01-25,1.448375837
531,2021-01-26,1.486272251
532,2021-01-27,1.486023372
533,2021-01-28,1.48575197
534,2021-01-29,1.485449746
535,2021-01-30,1.485109425
536,2021-01-31,1.499512133
537,2021-02-01,1.446158607
538,2021-02-02,1.483802862
539,2021-02-03,1.483258303
540,2021-02-04,1.482654759
541,2021-02-05,1.481990915
542,2021-02-06,1.481266292
543,2021-02-07,1.495268547
544,2021-02-08,1.441504643
545,2021-02-09,1.478734512
546,2021-02-10,1.4777772
547,2021-02-11,1.476767961
548,2021-02-12,1.475710772
549,2021-02-13,1.474610409
550,2021-02-14,1.488259859
551,2021-02-15,1.434171582
552,2021-02-16,1.471111286
553,2021-02-17,1.46990413
554,2021-02-18,1.468691879
555,2021-02-19,1.467485432
556,2021-02-20,1.466296879
557,2021-02-21,1.47992685
558,2021-02-22,1.425895672
559,2021-02-23,1.462976993
560,2021-02-24,1.462003798
561,2021-02-25,1.461125335
562,2021-02-26,1.460359383
563,2021-02-27,1.459724031
564,2021-02-28,1.474024727
565,2021-03-01,1.420785142
566,2021-03-02,1.458780495
567,2021-03-03,1.458843305
568,2021-03-04,1.459120074
569,2021-03-05,1.459623362
570,2021-03-06,1.460363422
571,2021-03-07,1.476135175
572,2021-03-08,1.424449064
573,2021-03-09,1.46406446
574,2021-03-10,1.465795559
575,2021-03-11,1.46776831
576,2021-03-12,1.4699728
577,2021-03-13,1.472395294
578,2021-03-14,1.489805666
579,2021-03-15,1.439688786
580,2021-03-16,1.480778493
581,2021-03-17,1.483864107
582,2021-03-18,1.487047976
583,2021-03-19,1.490298499
584,2021-03-20,1.493582767
585,2021-03-21,1.511654575
586,2021-03-22,1.461986331
587,2021-03-23,1.50330348
588,2021-03-24,1.506391383
589,2021-03-25,1.509353125
590,2021-03-26,1.512162695
591,2021-03-27,1.514797654
592,2021-03-28,1.532027058
593,2021-03-29,1.481343136
594,2021-03-30,1.521495368
595,2021-03-31,1.523296889
596,2021-04-01,1.52488171
597,2021-04-02,1.526257211
598,2021-04-03,1.527436037
599,2021-04-04,1.543223181
600,2021-04-05,1.491146774
601,2021-04-06,1.529991259
602,2021-04-07,1.530602883
603,2021-04-08,1.53114604
604,2021-04-09,1.531654931
605,2021-04-10,1.532164702
606,2021-04-11,1.547497866
607,2021-04-12,1.495194559
608,2021-04-13,1.534045292
609,2021-04-14,1.534896194
610,2021-04-15,1.535905249
611,2021-04-16,1.537094025
612,2021-04-17,1.538479042
613,2021-04-18,1.554858592
614,2021-04-19,1.503743546
615,2021-04-20,1.543890808
616,2021-04-21,1.546109383
617,2021-04-22,1.548517556
618,2021-04-23,1.551095634
619,2021-04-24,1.553818405
620,2021-04-25,1.571443067
621,2021-04-26,1.521441151
622,2021-04-27,1.562533061
623,2021-04-28,1.565495176
624,2021-04-29,1.568417965
625,2021-04-30,1.571259562
626,2021-05-01,1.573978913
627,2021-05-02,1.591324246
628,2021-05-03,1.540765342
629,2021-05-04,1.581028254
630,2021-05-05,1.582902385
631,2021-05-06,1.584498377
632,2021-05-07,1.585801286
633,2021-05-08,1.586803123
634,2021-05-09,1.602290556
635,2021-05-10,1.549776266
636,2021-05-11,1.588032615
637,2021-05-12,1.587897562
638,2021-05-13,1.587531338
639,2021-05-14,1.586968339
640,2021-05-15,1.586248395
641,2021-05-16,1.600203217
642,2021-05-17,1.546386559
